Naam,Categorie,Belangrijkste Voedingsstof
Aardbei,Fruit,vitamine C
Abrikoos,Fruit,vitamine A
Ananas,Fruit,antioxidanten
Appel,Fruit,vezels
Appelbanaan,Fruit,kalium
Avocado,Fruit,kalium
Banaan,Fruit,kalium
Bergamot,Fruit,antioxidanten
Blauwe bes,Fruit,antioxidanten
Braam,Fruit,antioxidanten
Broodvrucht,Fruit,antioxidanten
Calamondin,Fruit,antioxidanten
Cantaloupe,Fruit,antioxidanten
Cassabanana,Fruit,antioxidanten
Cherimoya,Fruit,antioxidanten
Chinapeer,Fruit,vezels
Citroen,Fruit,vitamine C
Clementine,Fruit,vitamine C
Costa Rica-guave,Fruit,antioxidanten
Curuba,Fruit,antioxidanten
Custardappel,Fruit,antioxidanten
Dadel,Fruit,antioxidanten
Doerian,Fruit,antioxidanten
Druif,Fruit,antioxidanten
Feijoa,Fruit,antioxidanten
Gele mombinpruim,Fruit,vitamine A
Genipapo,Fruit,antioxidanten
Goudbes,Fruit,antioxidanten
Granaatappel,Fruit,vitamine C
Grapefruit,Fruit,vitamine C
Grosella,Fruit,antioxidanten
Grote bosaardbei,Fruit,antioxidanten
Guave,Fruit,antioxidanten
Honingmeloen,Fruit,vitamine C
Ikakopruim,Fruit,antioxidanten
Jabuticaba,Fruit,antioxidanten
Jackfruit,Fruit,antioxidanten
Jakhalsbes,Fruit,antioxidanten
Jambolan,Fruit,antioxidanten
Japanse wijnbes,Fruit,antioxidanten
Jujube,Fruit,antioxidanten
Kaki,Fruit,vitamine A
Kapoelasan,Fruit,antioxidanten
Kei-appel,Fruit,antioxidanten
Kers,Fruit,antioxidanten
Ketembilla,Fruit,antioxidanten
Kiwi,Fruit,vitamine C
Knippa,Fruit,antioxidanten
Kokosnoot,Fruit,water
Korlan,Fruit,antioxidanten
Kruipbraam,Fruit,antioxidanten
Kruisbes,Fruit,antioxidanten
Kumquat,Fruit,antioxidanten
Kweepeer,Fruit,vezels
Langsat,Fruit,antioxidanten
Lijsterbes,Fruit,antioxidanten
Limoen,Fruit,vitamine C
Longan,Fruit,antioxidanten
Loquat,Fruit,antioxidanten
Lotusvrucht,Fruit,antioxidanten
Lucuma,Fruit,antioxidanten
Lulo,Fruit,antioxidanten
Lychee,Fruit,antioxidanten
Mabolo,Fruit,antioxidanten
Mamey sapota,Fruit,antioxidanten
Mandarijn,Fruit,vitamine C
Mangistan,Fruit,antioxidanten
Mango,Fruit,vitamine A
Marang,Fruit,antioxidanten
Meloen,Fruit,antioxidanten
Mini-kiwi,Fruit,antioxidanten
Mispel,Fruit,vezels
Moendoe,Fruit,antioxidanten
Moerbei,Fruit,antioxidanten
Moriche,Fruit,antioxidanten
Nance,Fruit,antioxidanten
Nashipeer,Fruit,vezels
Natalpruim,Fruit,antioxidanten
Nectarine,Fruit,vitamine A
Noni,Fruit,antioxidanten
Olifantsappel,Fruit,antioxidanten
Olijf,Fruit,antioxidanten
Orinoco-appel,Fruit,antioxidanten
Papaja,Fruit,vitamine C
Papeda,Fruit,antioxidanten
Passievrucht,Fruit,vitamine C
Pawpaw,Fruit,antioxidanten
Peer,Fruit,vezels
Pepino,Fruit,antioxidanten
Perzik,Fruit,vitamine A
Perzikpalm,Fruit,antioxidanten
Pitaja,Fruit,vitamine A
Pitomba I,Fruit,antioxidanten
Pitomba II,Fruit,antioxidanten
Pluot,Fruit,vitamine A
Pomelo,Fruit,antioxidanten
Pompelmoes,Fruit,vitamine C
Prachtframboos,Fruit,antioxidanten
Prachtige mango,Fruit,antioxidanten
Pruim,Fruit,vitamine A
Ramboetan,Fruit,antioxidanten
Rijsbes,Fruit,antioxidanten
Rode bes,Fruit,antioxidanten
Rode bosbes,Fruit,antioxidanten
Rode moerbei,Fruit,antioxidanten
Rode mombinpruim,Fruit,vitamine A
Rozenbottel,Fruit,antioxidanten
Salak,Fruit,antioxidanten
Santol,Fruit,antioxidanten
Sapodilla,Fruit,antioxidanten
Satsuma,Fruit,antioxidanten
Schroefpalm,Fruit,vitamine C
Sharonfruit,Fruit,vitamine C
Sinaasappel,Fruit,vitamine C
Slijmappel,Fruit,antioxidanten
Soncoya,Fruit,antioxidanten
Stervrucht,Fruit,vitamine C
Stinkende mango,Fruit,antioxidanten
Stranddruif,Fruit,antioxidanten
Surinaamse kers,Fruit,antioxidanten
Sweetie,Fruit,antioxidanten
Switbonki,Fruit,antioxidanten
Tamarillo,Fruit,vitamine C
Tjampedak,Fruit,antioxidanten
Tomaat,Groente,vitamine C
Topinamboer,Groente,vezels
Tuinkers,Groente,foliumzuur
Tuinboon,Groente,foliumzuur
Tuinmelde,Groente,antioxidanten
Ugli,Fruit,antioxidanten
Ui,Groente,antioxidanten
Veldsla,Groente,water
Veldzuring,Groente,vezels
Venkel,Groente,antioxidanten
Vijgenbladpompoen,Groente,vitamine A
Vleugelboon,Groente,antioxidanten
Witlof,Groente,antioxidanten
Wittekool,Groente,antioxidanten
Wortel,Groente,vitamine A
Wortelpeterselie,Groente,vitamine A
Yacón,Groente,antioxidanten
Zeekool,Groente,antioxidanten
Zonnewortel,Groente,vitamine A
Zuring,Groente,vezels
